"pitch","yaw","f"
"-8","92.38594403038881","1.0"
"-69","23.19859051364819","0.30000000000000016"
"-27","-145.00797980144134","1.0"
"-3","-129.8055710922652","0.7000000000000001"
"14","-0.0","0.30000000000000016"
"-16","94.57392125990086","0.5000000000000001"
"0","0","0"
"-2","-74.35775354279127","1.0"
"-25","-17.10272896905237","1.0"
"-8","125.8376529542783","1.0"
"0","0","0"
"-77","156.80140948635182","0.40000000000000013"
"-19","-92.72631099390628","1.0"
"10","123.69006752597979","1.0"
"-9","82.5685920288275","0.6000000000000001"
"23","159.44395478041653","1.0"
"-19","-90.0","0.5000000000000001"
"-28","161.56505117707798","1.0"
"-8","-77.47119229084849","1.0"
"-25","98.74616226255522","1.0"
"-31","-141.34019174590992","1.0"
"-71","74.05460409907715","0.6000000000000001"
"14","-19.98310652189998","1.0"
"-24","-110.22485943116808","0.40000000000000013"
